goos: linux
goarch: amd64
pkg: github.com/onhotpath/ferry/bench
cpu: 12th Gen Intel(R) Core(TM) i5-1240P
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  377511	      2991 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  392481	      2957 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  427779	      2823 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  421798	      2956 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/cold/kelseyhightower-6         	  364087	      3043 ns/op	    1256 B/op	      57 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  409156	      2765 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  383367	      2949 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  389583	      2854 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  427250	      3104 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  407641	      2860 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  389523	      2898 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  401878	      3388 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  405272	      2972 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  414657	      2791 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/warm/kelseyhightower-6         	  390864	      2720 ns/op	    1240 B/op	      56 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6692791	       177.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6910323	       189.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6732320	       175.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6782887	       173.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 7184198	       178.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6318550	       176.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 7284176	       170.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6846085	       173.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6988785	       183.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/cold/stdlib-6                  	 6500677	       172.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7388334	       173.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7232325	       178.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7164812	       174.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7179436	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 7393152	       167.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoad/env_small/warm/stdlib-6                  	 6927157	       185.4 ns/op	       0 B/op	       0 allocs/op
